zhWords_id,zhWords_word,ziIndex,pinyin,zi
208,需求,1,qiu,求
209,解决,0,jie,解
209,解决,1,jue,决
210,能够,0,neng,能
210,能够,1,gou,够
211,水平,0,shui,水
211,水平,1,ping,平
212,成本,0,cheng,成
212,成本,1,ben,本
213,基本,0,ji,基
213,基本,1,ben,本
214,直接,0,zhi,直
214,直接,1,jie,接
215,个人,0,ge,个
215,个人,1,ren,人
216,孩子,0,hai,孩
216,孩子,1,zi,子
217,分别,0,fen,分
217,分别,1,bie,别
218,月份,0,yue,月
218,月份,1,fen,份
219,品牌,0,pin,品
219,品牌,1,pai,牌
220,文化,0,wen,文
220,文化,1,hua,化
221,明显,0,ming,明
221,明显,1,xian,显
222,正在,0,zheng,正
222,正在,1,zai,在
223,食品,0,shi,食
223,食品,1,pin,品
224,新闻,0,xin,新
224,新闻,1,wen,闻
225,如何,0,ru,如
225,如何,1,he,何
226,提出,0,ti,提
226,提出,1,chu,出
227,其实,0,qi,其
227,其实,1,shi,实
228,人民币,0,ren,人
228,人民币,1,min,民
228,人民币,2,bi,币
229,我国,0,wo,我
229,我国,1,guo,国
230,大家,0,da,大
230,大家,1,jia,家
231,一样,0,yi,一
231,一样,1,yang,样
232,实施,0,shi,实
232,实施,1,shi,施
233,责任,0,ze,责
233,责任,1,ren,任
234,科技,0,ke,科
234,科技,1,ji,技
235,预期,0,yu,预
235,预期,1,qi,期
236,预计,0,yu,预
236,预计,1,ji,计
237,消费者,0,xiao,消
237,消费者,1,fei,费
237,消费者,2,zhe,者
238,特别,0,te,特
238,特别,1,bie,别
239,资源,0,zi,资
239,资源,1,yuan,源
240,决定,0,jue,决
240,决定,1,ding,定
241,保险,0,bao,保
241,保险,1,xian,险
242,内容,0,nei,内
242,内容,1,rong,容
243,昨日,0,zuo,昨
243,昨日,1,ri,日
244,出来,0,chu,出
244,出来,1,lai,来
245,必须,0,bi,必
245,必须,1,xu,须
246,当地,0,dang,当
246,当地,1,di,地
247,完成,0,wan,完
247,完成,1,cheng,成
248,股份,0,gu,股
248,股份,1,fen,份
249,平台,0,ping,平
249,平台,1,tai,台
250,业绩,0,ye,业
250,业绩,1,ji,绩
251,按照,0,an,按
251,按照,1,zhao,照
252,当时,0,dang,当
252,当时,1,shi,时
253,贷款,0,dai,贷
253,贷款,1,kuan,款
254,之前,0,zhi,之
254,之前,1,qian,前
255,制度,0,zhi,制
255,制度,1,du,度
256,不断,0,bu,不
256,不断,1,duan,断
257,严重,0,yan,严
257,严重,1,zhong,重
258,得到,0,de,得
258,得到,1,dao,到
259,领域,0,ling,领
259,领域,1,yu,域
260,关于,0,guan,关
260,关于,1,yu,于
261,人民,0,ren,人
261,人民,1,min,民
262,消费,0,xiao,消
262,消费,1,fei,费
263,作用,0,zuo,作
263,作用,1,yong,用
264,建议,0,jian,建
264,建议,1,yi,议
265,任何,0,ren,任
265,任何,1,he,何
266,大学,0,da,大
266,大学,1,xue,学
267,股票,0,gu,股
267,股票,1,piao,票
268,会议,0,hui,会
268,会议,1,yi,议
269,此外,0,ci,此
269,此外,1,wai,外
270,带来,0,dai,带
270,带来,1,lai,来
271,单位,0,dan,单
271,单位,1,wei,位
272,有限公司,0,you,有
272,有限公司,1,xian,限
272,有限公司,2,gong,公
272,有限公司,3,si,司
273,之间,0,zhi,之
273,之间,1,jian,间
274,最后,0,zui,最
274,最后,1,hou,后
275,先生,0,xian,先
275,先生,1,sheng,生
276,无法,0,wu,无
276,无法,1,fa,法
277,历史,0,li,历
277,历史,1,shi,史
278,基础,0,ji,基
278,基础,1,chu,础
279,资本,0,zi,资
279,资本,1,ben,本
280,购买,0,gou,购
280,购买,1,mai,买
281,怎么,0,zen,怎
281,怎么,1,me,么
282,考虑,0,kao,考
282,考虑,1,lv,虑
283,汽车,0,qi,汽
283,汽车,1,che,车
284,现场,0,xian,现
284,现场,1,chang,场
285,一般,0,yi,一
285,一般,1,ban,般
286,表现,0,biao,表
286,表现,1,xian,现
287,措施,0,cuo,措
287,措施,1,shi,施
288,控制,0,kong,控
288,控制,1,zhi,制
289,目标,0,mu,目
289,目标,1,biao,标
290,客户,0,ke,客
290,客户,1,hu,户
291,健康,0,jian,健
291,健康,1,kang,康
292,互联网,0,hu,互
292,互联网,1,lian,联
292,互联网,2,wang,网
293,压力,0,ya,压
293,压力,1,li,力
294,来说,0,lai,来
294,来说,1,shuo,说
295,另外,0,ling,另
295,另外,1,wai,外
296,英国,0,ying,英
296,英国,1,guo,国
297,经营,0,jing,经
297,经营,1,ying,营
298,随着,0,sui,随
298,随着,1,zhe,着
299,代表,0,dai,代
299,代表,1,biao,表
300,完全,0,wan,完
300,完全,1,quan,全
301,产生,0,chan,产
301,产生,1,sheng,生
302,模式,0,mo,模
302,模式,1,shi,式
303,开发,0,kai,开
303,开发,1,fa,发
304,公开,0,gong,公
304,公开,1,kai,开
305,不少,0,bu,不
305,不少,1,shao,少
306,发行,0,fa,发
306,发行,1,xing,行
307,起来,0,qi,起
307,起来,1,lai,来
308,然后,0,ran,然
308,然后,1,hou,后
309,香港,0,xiang,香
309,香港,1,gang,港
310,具有,0,ju,具
310,具有,1,you,有
311,收益,0,shou,收
311,收益,1,yi,益
312,形成,0,xing,形
312,形成,1,cheng,成
313,过去,0,guo,过
313,过去,1,qu,去
314,房地产,0,fang,房
314,房地产,1,di,地
314,房地产,2,chan,产
315,就是,0,jiu,就
315,就是,1,shi,是
316,处理,0,chu,处
316,处理,1,li,理
317,电子,0,dian,电
317,电子,1,zi,子
318,小时,0,xiao,小
318,小时,1,shi,时
319,总统,0,zong,总
319,总统,1,tong,统
320,第三,0,di,第
320,第三,1,san,三
321,价值,0,jia,价
321,价值,1,zhi,值
322,保持,0,bao,保
322,保持,1,chi,持
323,推出,0,tui,推
323,推出,1,chu,出
324,截至,0,jie,截
324,截至,1,zhi,至
325,减少,0,jian,减
325,减少,1,shao,少
326,参与,0,can,参
326,参与,1,yu,与
327,建立,0,jian,建
327,建立,1,li,立
328,方案,0,fang,方
328,方案,1,an,案
329,今天,0,jin,今
329,今天,1,tian,天
330,成功,0,cheng,成
330,成功,1,gong,功
331,负责人,0,fu,负
331,负责人,1,ze,责
331,负责人,2,ren,人
332,学生,0,xue,学
332,学生,1,sheng,生
333,货币,0,huo,货
333,货币,1,bi,币
334,此前,0,ci,此
334,此前,1,qian,前
335,受到,0,shou,受
335,受到,1,dao,到
336,喜欢,0,xi,喜
336,喜欢,1,huan,欢
337,期间,0,qi,期
337,期间,1,jian,间
338,宣布,0,xuan,宣
338,宣布,1,bu,布
339,季度,0,ji,季
339,季度,1,du,度
340,平均,0,ping,平
340,平均,1,jun,均
341,质量,0,zhi,质
341,质量,1,liang,量
342,支付,0,zhi,支
342,支付,1,fu,付
343,加强,0,jia,加
343,加强,1,qiang,强
344,条件,0,tiao,条
344,条件,1,jian,件
345,商业,0,shang,商
345,商业,1,ye,业
346,最终,0,zui,最
346,最终,1,zhong,终
347,融资,0,rong,融
347,融资,1,zi,资
348,保护,0,bao,保
348,保护,1,hu,护
349,监管,0,jian,监
349,监管,1,guan,管
350,因素,0,yin,因
350,因素,1,su,素
351,股东,0,gu,股
351,股东,1,dong,东
352,稳定,0,wen,稳
352,稳定,1,ding,定
353,东西,0,dong,东
353,东西,1,xi,西
354,除了,0,chu,除
354,除了,1,le,了
355,下跌,0,xia,下
355,下跌,1,die,跌
356,交通,0,jiao,交
356,交通,1,tong,通
357,法律,0,fa,法
357,法律,1,lv,律
358,比如,0,bi,比
358,比如,1,ru,如
359,深圳,0,shen,深
359,深圳,1,zhen,圳
360,具体,0,ju,具
360,具体,1,ti,体
361,教育,0,jiao,教
361,教育,1,yu,育
362,容易,0,rong,容
362,容易,1,yi,易
363,透露,0,tou,透
363,透露,1,lu,露
364,土地,0,tu,土
364,土地,1,di,地
365,感觉,0,gan,感
365,感觉,1,jue,觉
366,新华,0,xin,新
366,新华,1,hua,华
367,大量,0,da,大
367,大量,1,liang,量
368,长期,0,chang,长
368,长期,1,qi,期
369,积极,0,ji,积
369,积极,1,ji,极
370,利率,0,li,利
370,利率,1,lv,率
371,统计,0,tong,统
371,统计,1,ji,计
372,创新,0,chuang,创
372,创新,1,xin,新
373,范围,0,fan,范
373,范围,1,wei,围
374,广州,0,guang,广
374,广州,1,zhou,州
375,采访,0,cai,采
375,采访,1,fang,访
376,举行,0,ju,举
376,举行,1,xing,行
377,战略,0,zhan,战
377,战略,1,lve,略
378,重点,0,zhong,重
378,重点,1,dian,点
379,采取,0,cai,采
379,采取,1,qu,取
380,变化,0,bian,变
380,变化,1,hua,化
381,机会,0,ji,机
381,机会,1,hui,会
382,这么,0,zhe,这
382,这么,1,me,么
383,财政,0,cai,财
383,财政,1,zheng,政
384,经过,0,jing,经
384,经过,1,guo,过
385,欧洲,0,ou,欧
385,欧洲,1,zhou,洲
386,设计,0,she,设
386,设计,1,ji,计
387,利用,0,li,利
387,利用,1,yong,用
388,昨天,0,zuo,昨
388,昨天,1,tian,天
389,传统,0,chuan,传
389,传统,1,tong,统
390,一起,0,yi,一
390,一起,1,qi,起
391,危机,0,wei,危
391,危机,1,ji,机
392,最高,0,zui,最
392,最高,1,gao,高
393,上述,0,shang,上
393,上述,1,shu,述
394,家庭,0,jia,家
394,家庭,1,ting,庭
395,准备,0,zhun,准
395,准备,1,bei,备
396,一下,0,yi,一
396,一下,1,xia,下
397,警方,0,jing,警
397,警方,1,fang,方
398,事故,0,shi,事
398,事故,1,gu,故
399,本报,0,ben,本
399,本报,1,bao,报
400,中央,0,zhong,中
400,中央,1,yang,央
401,工程,0,gong,工
401,工程,1,cheng,程
402,游戏,0,you,游
402,游戏,1,xi,戏
403,注意,0,zhu,注
403,注意,1,yi,意
404,保障,0,bao,保
404,保障,1,zhang,障
405,广告,0,guang,广
405,广告,1,gao,告
406,针对,0,zhen,针
406,针对,1,dui,对
407,明确,0,ming,明
407,明确,1,que,确
408,全部,0,quan,全
408,全部,1,bu,部
409,理财,0,li,理
409,理财,1,cai,财
410,电话,0,dian,电
410,电话,1,hua,话
411,俄罗斯,0,e,俄
411,俄罗斯,1,luo,罗
411,俄罗斯,2,si,斯
412,为什么,0,wei,为
412,为什么,1,shen,什
412,为什么,2,me,么
413,黄金,0,huang,黄
413,黄金,1,jin,金
414,比例,0,bi,比
414,比例,1,li,例
415,正式,0,zheng,正
415,正式,1,shi,式
416,移动,0,yi,移
416,移动,1,dong,动
417,居民,0,ju,居
417,居民,1,min,民
418,之一,0,zhi,之
418,之一,1,yi,一
419,人们,0,ren,人
419,人们,1,men,们
420,拥有,0,yong,拥
420,拥有,1,you,有
421,专业,0,zhuan,专
421,专业,1,ye,业
422,面临,0,mian,面
422,面临,1,lin,临
423,程度,0,cheng,程
423,程度,1,du,度
424,成立,0,cheng,成
424,成立,1,li,立
425,提升,0,ti,提
425,提升,1,sheng,升
426,功能,0,gong,功
426,功能,1,neng,能
427,申请,0,shen,申
427,申请,1,qing,请
428,近期,0,jin,近
428,近期,1,qi,期
429,事情,0,shi,事
429,事情,1,qing,情
430,上升,0,shang,上
430,上升,1,sheng,升
431,有效,0,you,有
431,有效,1,xiao,效
432,实际,0,shi,实
432,实际,1,ji,际
433,行动,0,xing,行
433,行动,1,dong,动
434,此次,0,ci,此
434,此次,1,ci,次
435,尽管,0,jin,尽
435,尽管,1,guan,管
436,收购,0,shou,收
436,收购,1,gou,购
437,竞争,0,jing,竞
437,竞争,1,zheng,争
438,韩国,0,han,韩
438,韩国,1,guo,国
439,参加,0,can,参
439,参加,1,jia,加
440,委员会,0,wei,委
440,委员会,1,yuan,员
440,委员会,2,hui,会
441,大幅,0,da,大
441,大幅,1,fu,幅
442,死亡,0,si,死
442,死亡,1,wang,亡
443,空间,0,kong,空
443,空间,1,jian,间
444,联系,0,lian,联
444,联系,1,xi,系
445,微博,0,wei,微
445,微博,1,bo,博
446,能源,0,neng,能
446,能源,1,yuan,源
447,旅游,0,lv,旅
447,旅游,1,you,游
448,意见,0,yi,意
448,意见,1,jian,见
449,不仅,0,bu,不
449,不仅,1,jin,仅
450,朋友,0,peng,朋
450,朋友,1,you,友
451,苹果,0,ping,苹
451,苹果,1,guo,果
452,回应,0,hui,回
452,回应,1,ying,应
453,数量,0,shu,数
453,数量,1,liang,量
454,帮助,0,bang,帮
454,帮助,1,zhu,助
455,利润,0,li,利
455,利润,1,run,润
456,学校,0,xue,学
456,学校,1,xiao,校
457,相对,0,xiang,相
457,相对,1,dui,对
458,下午,0,xia,下
458,下午,1,wu,午
459,执行,0,zhi,执
459,执行,1,xing,行
460,正常,0,zheng,正
460,正常,1,chang,常
461,开展,0,kai,开
461,开展,1,zhan,展
462,这里,0,zhe,这
462,这里,1,li,里
463,机制,0,ji,机
463,机制,1,zhi,制
464,规划,0,gui,规
464,规划,1,hua,划
465,商品,0,shang,商
465,商品,1,pin,品
466,涨幅,0,zhang,涨
466,涨幅,1,fu,幅
467,利益,0,li,利
467,利益,1,yi,益
468,办法,0,ban,办
468,办法,1,fa,法
469,公告,0,gong,公
469,公告,1,gao,告
470,医疗,0,yi,医
470,医疗,1,liao,疗
471,费用,0,fei,费
471,费用,1,yong,用
472,整个,0,zheng,整
472,整个,1,ge,个
473,结构,0,jie,结
473,结构,1,gou,构
474,最近,0,zui,最
474,最近,1,jin,近
475,协议,0,xie,协
475,协议,1,yi,议
476,双方,0,shuang,双
476,双方,1,fang,方
477,应用,0,ying,应
477,应用,1,yong,用
478,方法,0,fang,方
478,方法,1,fa,法
479,设备,0,she,设
479,设备,1,bei,备
480,连续,0,lian,连
480,连续,1,xu,续
481,推动,0,tui,推
481,推动,1,dong,动
482,以后,0,yi,以
482,以后,1,hou,后
483,许多,0,xu,许
483,许多,1,duo,多
484,整体,0,zheng,整
484,整体,1,ti,体
485,改变,0,gai,改
485,改变,1,bian,变
486,员工,0,yuan,员
486,员工,1,gong,工
487,科学,0,ke,科
487,科学,1,xue,学
488,推进,0,tui,推
488,推进,1,jin,进
489,真正,0,zhen,真
489,真正,1,zheng,正
490,再次,0,zai,再
490,再次,1,ci,次
491,只是,0,zhi,只
491,只是,1,shi,是
492,各种,0,ge,各
492,各种,1,zhong,种
493,降低,0,jiang,降
493,降低,1,di,低
494,有些,0,you,有
494,有些,1,xie,些
495,央行,0,yang,央
495,央行,1,hang,行
496,更加,0,geng,更
496,更加,1,jia,加
497,处于,0,chu,处
497,处于,1,yu,于
498,近日,0,jin,近
498,近日,1,ri,日
499,越来越,0,yue,越
499,越来越,1,lai,来
499,越来越,2,yue,越
500,板块,0,ban,板
500,板块,1,kuai,块
501,全面,0,quan,全
501,全面,1,mian,面
502,如此,0,ru,如
502,如此,1,ci,此
503,短期,0,duan,短
503,短期,1,qi,期
504,女性,0,nv,女
504,女性,1,xing,性
505,领导,0,ling,领
505,领导,1,dao,导
506,政治,0,zheng,政
506,政治,1,zhi,治
507,综合,0,zong,综
507,综合,1,he,合
508,附近,0,fu,附
508,附近,1,jin,近
509,朝鲜,0,chao,朝
509,朝鲜,1,xian,鲜
510,以下,0,yi,以
510,以下,1,xia,下
511,不要,0,bu,不
511,不要,1,yao,要
512,阶段,0,jie,阶
512,阶段,1,duan,段
513,当然,0,dang,当
513,当然,1,ran,然
514,负责,0,fu,负
514,负责,1,ze,责
515,贸易,0,mao,贸
515,贸易,1,yi,易
516,现象,0,xian,现
516,现象,1,xiang,象
517,当天,0,dang,当
517,当天,1,tian,天
518,那些,0,na,那
518,那些,1,xie,些
519,股价,0,gu,股
519,股价,1,jia,价
520,优势,0,you,优
520,优势,1,shi,势
521,相比,0,xiang,相
521,相比,1,bi,比
522,股市,0,gu,股
522,股市,1,shi,市
523,当前,0,dang,当
523,当前,1,qian,前
524,共同,0,gong,共
524,共同,1,tong,同
525,扩大,0,kuo,扩
525,扩大,1,da,大
526,工业,0,gong,工
526,工业,1,ye,业
527,网友,0,wang,网
527,网友,1,you,友
528,体系,0,ti,体
528,体系,1,xi,系
529,联合,0,lian,联
529,联合,1,he,合
530,期货,0,qi,期
530,期货,1,huo,货
531,只要,0,zhi,只
531,只要,1,yao,要
532,住房,0,zhu,住
532,住房,1,fang,房
533,区域,0,qu,区
533,区域,1,yu,域
534,同样,0,tong,同
534,同样,1,yang,样
535,增速,0,zeng,增
535,增速,1,su,速
536,每天,0,mei,每
536,每天,1,tian,天
537,身体,0,shen,身
537,身体,1,ti,体
538,法院,0,fa,法
538,法院,1,yuan,院
539,视频,0,shi,视
539,视频,1,pin,频
540,确定,0,que,确
540,确定,1,ding,定
541,网上,0,wang,网
541,网上,1,shang,上
542,股权,0,gu,股
542,股权,1,quan,权
543,然而,0,ran,然
543,然而,1,er,而
544,重大,0,zhong,重
544,重大,1,da,大
545,一切,0,yi,一
545,一切,1,qie,切
546,涉及,0,she,涉
546,涉及,1,ji,及
547,出口,0,chu,出
547,出口,1,kou,口
548,仍然,0,reng,仍
548,仍然,1,ran,然
549,尤其,0,you,尤
549,尤其,1,qi,其
550,至少,0,zhi,至
550,至少,1,shao,少
551,属于,0,shu,属
551,属于,1,yu,于
552,引起,0,yin,引
552,引起,1,qi,起
553,资料,0,zi,资
553,资料,1,liao,料
554,上午,0,shang,上
554,上午,1,wu,午
555,那个,0,na,那
555,那个,1,ge,个
556,学习,0,xue,学
556,学习,1,xi,习
557,官员,0,guan,官
557,官员,1,yuan,员
558,效果,0,xiao,效
558,效果,1,guo,果
559,有所,0,you,有
559,有所,1,suo,所
560,解释,0,jie,解
560,解释,1,shi,释
561,法国,0,fa,法
561,法国,1,guo,国
562,促进,0,cu,促
562,促进,1,jin,进
563,分钟,0,fen,分
563,分钟,1,zhong,钟
